VariableRef,FinancialSpreadsheetVariableCategoryRef,DisplayName,FinalPos,ItemPosition,FinancialSpreadsheetItemID,fkParentFinancialSpreadsheetItemID,fkFinancialSpreadsheetVariableID,fkFinancialSpreadsheetVariableCategoryID,AssumptionFormula,ProjectionFormula,ProjectionBaseYearFormula
CORP_ASUM_NAR_PERARDOH,CORP_ASSUM_BS,%AddtoARDOH,6,2,1713,1407,820,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,A/C Receivables (Non-Related Parties),6,6,1407,,,11,,,
CORP_ASUM_NARRP_ARDOH,CORP_ASSUM_BS,ARDOH,7,0,1606,1518,651,11,"Case Name: 
   Condition: true
   Formula:  Math.Avg (Math.Divide (YBN.CORP_BS_NARRP,YBN.CORP_IS_SR)) *365 
",,
CORP_ASUM_NARRP_ABS,CORP_ASSUM_BS,Absolute,7,1,1605,1518,652,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_NARRP)
",,
CORP_ASUM_NARRP_PERARDOH,CORP_ASSUM_BS,%AddtoARDOH,7,2,1714,1518,821,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,A/C Receivables (Related Parties),7,7,1518,,,11,,,
CORP_ASUM_INV_DOCOGS,CORP_ASSUM_BS,Inventory (days) over COGS,8,0,1406,1403,463,11,"Case Name: 
   Condition: true
   Formula: Math.Avg ( YBN.CORP_RC_AC_INVDOH )
",,
CORP_ASUM_INV_DOSR,CORP_ASSUM_BS,Inventory (days) over Sales,8,1,1405,1403,464,11,"Case Name: 
   Condition: true
   Formula: Math.Avg (YBN.CORP_RC_AC_INVDOHOSAL)
",,
CORP_ASUM_INV_ABS,CORP_ASSUM_BS,Absolute,8,2,1404,1403,465,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_INV)
",,
CORP_ASUM_INV_PERDOCOGS,CORP_ASSUM_BS,%AddToDaysOverCOGS,8,3,1715,1403,822,11,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_INV_PERDOSR,CORP_ASSUM_BS,%AddToDaysOverSales,8,4,1716,1403,823,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Inventory,8,8,1403,,,11,,,
CORP_ASUM_PE_PERSR,CORP_ASSUM_BS,%Sales,9,0,1402,1400,466,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_PE) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_PE, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_PE, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_PE_ABS,CORP_ASSUM_BS,Absolute,9,1,1401,1400,467,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_PE)
",,
CORP_ASUM_PE_ATS,CORP_ASSUM_BS,%AddtoSales,9,2,1726,1400,833,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Prepaid Expenses,9,9,1400,,,11,,,
CORP_ASUM_OCA_PERSR,CORP_ASSUM_BS,%Sales,10,0,1399,1397,468,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_OCA) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_OCA, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_OCA, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_OCA_ABS,CORP_ASSUM_BS,Absolute,10,1,1398,1397,469,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_OCA)
",,
CORP_ASUM_OCA_ATS,CORP_ASSUM_BS,%AddtoSales,10,2,1727,1397,834,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Others Current Assets,10,10,1397,,,11,,,
CORP_ASUM_FA_PERSR,CORP_ASSUM_BS,%Sales,11,0,1396,1394,470,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_NFA) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_NFA, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_NFA, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_FA_ABS,CORP_ASSUM_BS,Absolute,11,1,1395,1394,471,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_NFA)
",,
CORP_ASUM_NFA_ATS,CORP_ASSUM_BS,%AddtoSales,11,2,1731,1394,838,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Net Fixed Assets,11,11,1394,,,11,,,
CORP_ASUM_INS_PERSR,CORP_ASSUM_BS,%Sales,12,0,1393,1391,472,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_INS) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_INS, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_INS, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_INS_ABS,CORP_ASSUM_BS,Absolute,12,1,1392,1391,473,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_INS)
",,
CORP_ASUM_INS_ATS,CORP_ASSUM_BS,%AddtoSales,12,2,1732,1391,839,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Investments,12,12,1391,,,11,,,
CORP_ASUM_REPRY_PERSR,CORP_ASSUM_BS,%Sales,13,0,1390,1388,474,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_RPA) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_RPA, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_RPA, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_RPA_ABS,CORP_ASSUM_BS,Absolute,13,1,1389,1388,475,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_RPA)
",,
CORP_ASUM_RPA_ATS,CORP_ASSUM_BS,%AddtoSales,13,2,1733,1388,840,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Related Parties Assets,13,13,1388,,,11,,,
CORP_ASUM_ONCA_PERSR,CORP_ASSUM_BS,%Sales,14,0,1355,1353,476,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_ONCA) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_ONCA, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_ONCA, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_ONCA_ABS,CORP_ASSUM_BS,Absolute,14,1,1354,1353,477,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_ONCA)
",,
CORP_ASUM_ONCA_ATS,CORP_ASSUM_BS,%AddtoSales,14,2,1734,1353,841,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Others Non Current Assets,14,14,1353,,,11,,,
CORP_ASUM_INT,CORP_ASSUM_BS,Intangibles,15,15,1562,,687,11,"Case Name: 
   Condition: true
   Formula: YB1.CORP_BS_INT 
",,
CORP_ASUM_AP_DOCOGS,CORP_ASSUM_BS,APDOH(days) over COGS,16,0,1352,1349,478,11,"Case Name: 
   Condition: true
   Formula:  - Math.Avg (Math.Divide (YBN.CORP_BS_AP,YBN.CORP_IS_COGS)) * 365  
",,
CORP_ASUM_AP_DOSR,CORP_ASSUM_BS,APDOH(days) over Sales,16,1,1351,1349,479,11,"Case Name: 
   Condition: true
   Formula:  Math.Avg (Math.Divide (YBN.CORP_BS_AP,YBN.CORP_IS_SR)) * 365 
",,
CORP_ASUM_AP_ABS,CORP_ASSUM_BS,Absolute,16,2,1350,1349,480,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_AP)
",,
CORP_ASUM_AP_PERDOCOGS,CORP_ASSUM_BS,%AddToDaysOverCOGS,16,3,1717,1349,824,11,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_AP_PERDOSR,CORP_ASSUM_BS,%AddToDaysOverSales,16,4,1718,1349,825,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,A/C Payables (Non-Related Parties),16,16,1349,,,11,,,
CORP_ASUM_APRP_DOCOGS,CORP_ASSUM_BS,APDOH (days) over COGS,17,0,1515,1514,653,11,"Case Name: 
   Condition: true
   Formula:  - Math.Avg (Math.Divide (YBN.CORP_BS_APRP,YBN.CORP_IS_COGS)) * 365  
",,
CORP_ASUM_APRP_DOSR,CORP_ASSUM_BS,APDOH (days) over Sales,17,1,1516,1514,654,11,"Case Name: 
   Condition: true
   Formula:  Math.Avg (Math.Divide (YBN.CORP_BS_APRP,YBN.CORP_IS_SR)) * 365 
",,
CORP_ASUM_APRP_ABS,CORP_ASSUM_BS,Absolute,17,2,1517,1514,655,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_APRP)
",,
CORP_ASUM_APRP_PERDOCOGS,CORP_ASSUM_BS,%AddToDaysOverCOGS,17,3,1719,1514,826,11,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_APRP_PERDOSR,CORP_ASSUM_BS,%AddToDaysOverSales,17,4,1720,1514,827,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,A/C Payables (Related Parties),17,17,1514,,,11,,,
CORP_ASUM_BP_PERSR,CORP_ASSUM_BS,%Sales,18,0,1348,1346,481,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_BP) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_BP, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_BP, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_BP_ABS,CORP_ASSUM_BS,Absolute,18,1,1347,1346,482,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_BP)
",,
CORP_ASUM_BP_ATS,CORP_ASSUM_BS,%AddtoSales,18,2,1735,1346,842,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Bills Payables,18,18,1346,,,11,,,
CORP_ASUM_AE_PERSR,CORP_ASSUM_BS,%Sales,19,0,1345,1343,483,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_AE) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_AE, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_AE, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_AE_ABS,CORP_ASSUM_BS,Absolute,19,1,1344,1343,484,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_AE)
",,
CORP_ASUM_AE_ATS,CORP_ASSUM_BS,%AddtoSales,19,2,1736,1343,843,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Accrued Expenses,19,19,1343,,,11,,,
CORP_ASUM_RPL_PERSR,CORP_ASSUM_BS,%Sales,20,0,1342,1340,485,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_RPL) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_RPL, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_RPL, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_RPL_ABS,CORP_ASSUM_BS,Absolute,20,1,1341,1340,486,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_RPL)
",,
CORP_ASUM_RPL_ATS,CORP_ASSUM_BS,%AddtoSales,20,2,1728,1340,835,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Related Parties Liabilities,20,20,1340,,,11,,,
CORP_ASUM_OCL_PERSR,CORP_ASSUM_BS,%Sales,21,0,1310,1309,487,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_OCL) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_OCL, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_OCL, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_OCL_ABS,CORP_ASSUM_BS,Absolute,21,1,1311,1309,488,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_OCL)
",,
CORP_ASUM_OCL_ATS,CORP_ASSUM_BS,%AddtoSales,21,2,1729,1309,836,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Other Current Liabilities,21,21,1309,,,11,,,
CORP_ASUM_LTD,CORP_ASSUM_BS,Long Term Debts,22,22,1312,,489,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_LTD)
",,
CORP_ASUM_LTD_DDWN,CORP_ASSUM_BS,Drawdowns/New Loans (+),23,23,1313,,490,11,,,
CORP_ASUM_LTD_RPYM,CORP_ASSUM_BS,Repayments (-),24,24,1314,,491,11,,,
CORP_ASUM_LTD_TFCPLTD,CORP_ASSUM_BS,Transfer to CPLTD (-),25,25,1315,,492,11,"Case Name: 
   Condition: true
   Formula: - YB1.CORP_BS_CPLTD 
",,
CORP_ASUM_SDOCB,CORP_ASSUM_BS,Subordinated Debts (to OCBC),26,26,1709,,712,11,"Case Name: 
   Condition: true
   Formula: YB1.CORP_BS_SDOCB 
",,
CORP_ASUM_SDOCB_DPAID,CORP_ASSUM_BS,Debt paid during year (-),27,27,1316,,493,11,,,
CORP_ASUM_SDOCB_FDG,CORP_ASSUM_BS,Further debt granted during year (+),28,28,1317,,494,11,,,
CORP_ASUM_DIT,CORP_ASSUM_BS,Deferred Tax,29,29,1318,,495,11,"Case Name: 
   Condition: true
   Formula:  YB1.CORP_BS_DIT 
",,
CORP_ASUM_ONCL_PERSR,CORP_ASSUM_BS,%Sales,30,0,1320,1319,496,11,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_BS_ONCL) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(YB1.CORP_BS_ONCL, Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(YBN.CORP_BS_ONCL, Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
CORP_ASUM_ONCL_ABS,CORP_ASSUM_BS,Absolute,30,1,1321,1319,497,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_ONCL)
",,
CORP_ASUM_ONCL_ATS,CORP_ASSUM_BS,%AddtoSales,30,2,1730,1319,837,11,"Case Name: 
   Condition: true
   Formula: null 
",,
,CORP_ASSUM_BS,Other Non Current Liabilities,30,30,1319,,,11,,,
CORP_ASUM_OS,CORP_ASSUM_BS,Ordinary Shares,31,31,1322,,498,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_OS)
",,
CORP_ASUM_PS,CORP_ASSUM_BS,Preference Shares,32,32,1323,,499,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_PS)
",,
CORP_ASUM_SP_ABS,CORP_ASSUM_BS,Share Premium,33,33,1513,,656,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_SP)
",,
CORP_ASUM_RR_ABS,CORP_ASSUM_BS,Revaluation Reserves,34,34,1512,,657,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_RR)
",,
CORP_ASUM_GR_ABS,CORP_ASSUM_BS,General Reserves,35,35,1511,,658,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_GR)
",,
CORP_ASUM_FXGLR,CORP_ASSUM_BS,FX Gains & Losses Reserves,36,36,1324,,500,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_FXGLR)
",,
CORP_ASUM_SDQU,CORP_ASSUM_BS,Quasi Capital,37,37,1571,,696,11,"Case Name: 
   Condition: true
   Formula: (YB1.CORP_BS_SDQU) 
",,
CORP_ASUM_MI,CORP_ASSUM_BS,Minority Interest,38,38,1325,,501,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_MI)
",,
CORP_ASUM_COL_ABS,CORP_ASSUM_BS,Contingent Liabilities,39,39,1680,,710,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_COL)
",,
CORP_ASUM_COMT_ABS,CORP_ASSUM_BS,Commitments,40,40,1679,,711,11,"Case Name: 
   Condition: true
   Formula: (YB1.CORP_BS_COMT)
",,
,CORP_ASSUM_BS,<Empty Line>,41,41,1681,,,11,,,
,CORP_ASSUM_BS,Applicable to Corporate Real Estate Obligors,42,42,1678,,,11,,,
CORP_ASUM_CCLO_ABS,CORP_ASSUM_BS,Current Capitalised Lease Obligations,43,43,1668,,702,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_CCLO)
",,
CORP_ASUM_CLO_ABS,CORP_ASSUM_BS,Capitalised Lease Obligations,44,44,1667,,703,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_CLO)
",,
CORP_ASUM_TOBSD_ABS,CORP_ASSUM_BS,Total Off-Balance-Sheet Debt,45,45,1671,,704,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_TOBSD)
",,
CORP_ASUM_IOBSD_ABS,CORP_ASSUM_BS,Interest on Off-Balance-Sheet Debt,46,46,1669,,705,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_IOBSD)
",,
CORP_ASUM_VIRD_ABS,CORP_ASSUM_BS,Variable Interest Rate Debt,47,47,1670,,706,11,"Case Name: 
   Condition: true
   Formula:  (YB1.CORP_BS_VIRD)
",,
,CORP_ASSUM_IS,Sales Revenue,0,0,1412,,,12,,,
CORP_ASUM_SR_Grw,CORP_ASSUM_IS,Sales Growth,0,0,1414,1412,425,12,"Case Name: 
   Condition: Y0.CONST_LastPeriod == true
   Formula: ( Math.StandardizePeriod ( YB1.CORP_RC_RG_SALGRW , Y0.CONST_ProjectionInterval , YB1.CONST_NumOfMonths ) )
Case Name: 
   Condition: Math.CountArray( YBN.CORP_RC_RG_SALGRW ) == 3
   Formula: (Math.Sum(Math.StandardizePeriod(YBN.CORP_RC_RG_SALGRW, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths)) - Math.First(Math.StandardizePeriod(YBN.CORP_RC_RG_SALGRW, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))) /2
Case Name: 
   Condition: Math.CountArray( YBN.CORP_RC_RG_SALGRW ) == 2
   Formula: Math.Avg(Math.StandardizePeriod(YB1.CORP_RC_RG_SALGRW, Y0.CONST_ProjectionInterval, YB1.CONST_NumOfMonths))
",,
CORP_ASUM_SR_ABS,CORP_ASSUM_IS,Absolute,0,1,1413,1412,426,12,"Case Name: 
   Condition: true
   Formula: Math.Avg (Math.StandardizePeriod ( YB1.CORP_IS_SR  , YB1.CONST_ProjectionInterval ,  YB1.CONST_NumOfMonths ))
",,
CORP_ASUM_SR_PERSALGRW,CORP_ASSUM_IS,%AddToSaleGrowth,0,2,1721,1412,828,12,"Case Name: 
   Condition: true
   Formula: null 
",,
CORP_ASUM_COGS_PERSR,CORP_ASSUM_IS,%Sales,1,0,1297,1296,427,12,"Case Name: 
   Condition: Math.HasAnyNullOrZero(YBN.CORP_IS_COGS) || Math.HasAnyNullOrZero(YBN.CORP_IS_SR)
   Formula: Math.Abs(Math.Divide(Math.StandardizePeriod(YB1.CORP_IS_COGS, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths), Math.StandardizePeriod(YB1.CORP_IS_SR, YB1.CONST_ProjectionInterval, YB1.CONST_NumOfMonths)))
Case Name: 
   Condition: true
   Formula: Math.Abs(Math.AvgIfNotNull(Math.Divide(Math.StandardizePeriod(YBN.CORP_IS_COGS, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths), Math.StandardizePeriod(YBN.CORP_IS_SR, Y0.CONST_ProjectionInterval, YBN.CONST_NumOfMonths))))
",,
,CORP_ASSUM_IS,Cost of Goods Sold,1,1,1296,,,12,,,
CORP_ASUM_COGS_ABS,CORP_ASSUM_IS,Absolute,1,1,1298,1296,428,12,"Case Name: 
   Condition: true
   Formula: Math.Avg (Math.StandardizePeriod ( YB1.CORP_IS_COGS , YB1.CONST_ProjectionInterval ,  YB1.CONST_NumOfMonths ))
",,
CORP_ASUM_COGS_ATS,CORP_ASSUM_IS,%AddtoSales,1,2,1737,1296,844,12,"Case Name: 
   Condition: true
   Formula: null 
",,
